몇|几、多少
번|号；次
이세요|是……吗（尊敬表达）
앞뒤|前后
번호|号码
확인하고|确认后、确认并
본인|本人
맞게|按照、使相符
서|站（서다 的活用）
주세요|请……、请给
인원|人数、人员
체크|检查、核对
시작하겠습니다|现在开始、将开始（正式表达）
지금부터|从现在开始
도착하시는|到达的（尊敬表达）
분은|这位／这些人（尊称，带主题助词）
지각|迟到
줄로|到……队伍中
보내|送去、让……去
도장|印章
위버스|Weverse
한|一
터치해서|点击后
큰화면으로|以大屏／放大画面
준비해|准备好
재모임|再次集合
시간은|时间是（带主题助词）
입니다|是（正式表达）
트위터|Twitter
통해|通过
공지|公告、通知
올리겠습니다|将发布、将上传
팔찌|手环
훼손|损坏
있는|有的、存在的
경우|情况
재확인|再次确认
요청|请求
드릴|将给您／向您提出（谦语）
수|可能、能够（用于 -ㄹ 수 있다）
있으니|因为有／可能有，所以
잘|好好地
보관해|保管
안|不
지워지게|被擦掉、消失（此处与 안 连用：不要被擦掉）
유의해|留意、注意
스티커|贴纸（同义词：라벨지）
바로|马上、直接
붙여|贴上
옆에서|在旁边
공방판에|在打歌板上（공방판；同义词：팬카드）
개인정보|个人信息
적고|写完后、写下并
이동할게요|接下来移动／换位置
역조공|逆应援、艺人送给粉丝的礼物
받아가세요|请领取后带走
응원봉|应援棒
손목에|在手腕上
걸어|挂上
확인할|将要检查的
거라|因为将要……（것이라 的口语形式）
보이게|让……看得见
들어가서|进去后
모든|所有的
전자기기|电子设备
금지입니다|禁止
발견하면|如果发现
퇴장합니다|退场、离场
가방에|放在包里／往包里
넣어|放入
나오세요|请出来
맨|最（用于最前、最后等）
앞으로|往前
가|去
신분증|身份证件
꺼내|拿出
아니시죠|不是吧（尊敬表达）
마스크|口罩
내려|放下、往下拉
안경|眼镜
모자|帽子
올려|抬起、往上提
저|我（谦称）
좀|稍微、请（委婉语气）
봐|看
생일|生日
말씀해|请说、告诉（尊敬表达）
전화번호|电话号码
다른|其他的、别的
은행카드|银行卡
있으실까요|请问有吗（委婉尊敬表达）
신분증에|在身份证件上
적혀|写着、被写下
주소|地址
하이코리아|HiKorea（韩国外国人综合服务平台）
로그인|登录
해|做（与前面的名词组成动作）
나갔다가|退出后再……
다시|重新、再一次
네이버|Naver
카카오|Kakao
건물|建筑、楼
어떤|什么样的
색이에요|是什么颜色／是……颜色
펜|笔
테니|因为会……，所以请……
여기에|在这里
이름|名字
적어|写下
아니에요|不是
오늘|今天
입장|入场
어려우세요|有困难、不太可行（此处委婉表示不能入场）
해산해|解散
나가셔서|出去后（尊敬表达）
줄|队伍
서세요|请站好／排队
기프트|礼物
미팬|迷你粉丝见面会
공지는|公告（带主题助词）
트위터에|在 Twitter 上
간단하게|简单地、简短地
멤버들이랑|和成员们一起
할|将做的
예정입니다|计划、预定
최애|最喜欢的成员、本命
어떻게|怎样、如何
되세요|是……（尊敬表达，此处询问本命是谁）
누구|谁
받으셨어요|领到了／收到了吗（尊敬表达）
혹시|请问、或许（委婉开场）
교환하시나요|请问要交换吗（尊敬表达）
