되게|很、非常（口语）
여러|各种、好几个
생각이|想法、念头（作主语）
많이|很多；多多地
들|浮现、产生（생각이 들다：冒出想法）
때가|……的时候（作主语）
있어요|有、存在
저는|我呢（自谦说法）
굉장히|非常、特别
어떻게|怎么、如何
보면|如果看；从某个角度看
제가|我（自谦，作主语）
음악을|音乐（作宾语）
꿈꾸고|梦想着、憧憬着，并且……
하게|去做；使得去做（接后面的表达）
되는|成为、变得……的
베이스가|基础、根基（作主语）
퍼포먼스형|表演型的
아티스트고|是艺人，并且……
여러분|大家、各位
알겠죠|明白了吧、懂的吧
마이클|迈克尔（人名的一部分）
잭슨|杰克逊（人名的一部分）
저스틴|贾斯汀（人名的一部分）
팀버레이크|汀布莱克（人名的一部分）
어셔|亚瑟小子（Usher，人名）
이런|这样的、这类的
분들을|这些人、这些位（尊称，作宾语）
좋아하니까|因为喜欢……
세대의|世代的、一代人的
흐름에|在潮流、变化趋势中
따라|随着；按照
내가|我（作主语）
사랑하는|热爱的、所爱的
것도|东西也、事情也
비주류가|非主流（作主语或补语）
될|会成为、可能变成
수도|也有可能（与前后的词合成“可能会……”）
있고|有，并且……
그렇게|那样、那样地
되면|如果变成那样
저도|我也（自谦）
머릿속으로|在脑海里、在脑子里
아|啊（感叹或停顿）
그럼|那么、那样的话
음악은|音乐呢、说到音乐
지금으로서는|就目前而言
많은|很多的
사람들에게|对人们、向人们
사랑을|爱、喜爱（作宾语）
받기|接受、得到（动作名词化）
어려울|会困难、可能很难
있지|有、可能有（后接自问或否定形式）
않을까|会不会……呢（自问、推测）
그런|那样的、那种
때도|……的时候也
그러면|那么、那样一来
저|我（自谦）
스스로|自己；靠自己
믿기|相信（动作名词化）
어려워지는|变得困难的、越来越难的
거죠|就是……嘛、是这么回事（解释语气）
하는|做的、正在做的
맞을까|是对的吗、会正确吗
근데|不过、但是；话说（口语）
그냥|就、只是、干脆
믿고|相信着，并……
가는|前行的、继续走的
겁니다|就是……（较正式的解释或断定）
하고|做；做了并……
싶은|想要……的
걸|事情、东西（것을 的口语缩略，作宾语）
해요|做；去做吧（礼貌说法）
꾸준히|持续地、坚持不懈地
간절히|恳切地、迫切地
열심히|努力地、用心地
하면|如果做……
진심은|真心、诚意（作为话题）
통한다고|说能相通、能传达（引用内容）
생각하기|认为、思考（动作名词化）
때문에|因为、由于
