korean,meaning_zh,part_of_speech,example_ko,example_zh,tags
주다,给,动词,친구한테 선물을 줬어요.,送了朋友一份礼物。,基础|对话
하다,做；说,动词,오늘 숙제 했어요.,今天写作业了。,基础
이다,是,动词,이건 제 책이에요.,这是我的书。,基础
가다,去,动词,주말에 콘서트 갔어요.,周末去看演唱会了。,基础|对话
보다,看,动词,뮤직비디오 다시 봤어요.,又把 MV 看了一遍。,基础|对话
받다,收；拿,动词,응원 선물 받았어요!,收到应援礼物了！,基础|对话
적다,写,动词,다이어리에 오늘 일기 적었어요.,在日记里写了今天的事。,基础|对话
나가다,出去,动词,점심 먹고 밖에 나갔어요.,吃完午饭出去了。,基础|对话
들어가다,进去,动词,교실에 들어가 봐요.,进教室看看吧。,基础|对话
올리다,举起；发布,动词,오늘 인스타에 사진 올렸어요.,今天在 ins 发了照片。,基础|数字生活
내리다,摘下；放下,动词,사진 다 찍고 모자 내렸어요.,拍完照把帽子摘了。,基础|对话
걸다,挂,动词,응원봉 가방에 걸어 놨어요.,把应援棒挂在包上了。,基础|对话
넣다,放（进）,动词,가방에 지갑 넣었어요.,把钱包装进包里了。,基础|对话
꺼내다,拿出,动词,책상에서 필통 꺼냈어요.,从书桌里拿出了笔袋。,基础|对话
나오다,出来,动词,결과가 나왔어요!,结果出来啦！,基础|对话
보이다,显示；让…看见,动词,저기 우리 아이돌 보여요?,那边能看到我们家爱豆吗？,基础|对话
되다,成为；变得,动词,날씨가 추워졌어요.,天气变冷了。,基础
말하다,说,动词,솔직히 말할게요.,跟你说实话吧。,基础|对话
확인하다,确认,动词,예매 확인했어요?,票确认好了吗？,基础|对话
시작하다,开始,动词,곧 공연 시작해요.,演出马上开始了。,基础|对话
보내다,送,动词,선배한테 메시지 보냈어요.,给前辈发消息了。,基础|对话
이동하다,移动,动词,자리 이동할게요.,我换个位置。,基础|对话
발견하다,发现,动词,숨겨진 포토카드 발견했어요!,发现了隐藏的 photo card！,基础|对话
통하다,通过,动词,앱을 통해 예매했어요.,是通过 app 买的票。,基础|数字生活
서다,站,动词,입구 앞에 서 있어요.,站在入口前面。,基础|对话
드리다,给（谦语）,动词,선물 드릴게요.,我给您送个礼物。,基础|对话
유의하다,注意,动词,미끄럼에 유의하세요.,小心地滑。,基础|对话
보관하다,保管,动词,소지품 잘 보관해요.,随身物品保管好。,基础|对话
지워지다,被擦掉,动词,글씨가 다 지워졌어요.,字全被擦掉了。,基础|对话
재확인,再次确认,名词,예매 내역 재확인했어요.,又确认了一遍购票记录。,追星|线下活动
요청,请求,名词,도움이 필요하면 요청해 주세요.,需要帮忙就提一下。,基础|对话
있다,有,动词,시간이 있어요.,我有空。,基础
맞다,正确；对,形容词,답이 맞아요.,答案是对的。,基础
번,号；次,数词,몇 번이세요?,您是几号？,基础|数字
분,位（对人的尊称）,量词,손님 세 분 오셨어요.,来了三位客人。,基础|敬语
바로,直接；马上,副词,지금 바로 갈게요.,我现在马上就去。,基础|对话
잘,好好地,副词,잘 들으세요.,好好听哦。,基础|对话
안,不,副词,오늘 안 가요.,今天不去了。,基础|对话
맨,最,副词,맨 앞줄이예요.,在最前排。,基础|对话
좀,一点（表委婉）,副词,잠시만 좀요.,稍等一下嘛。,基础|对话
혹시,或许；也许,副词,혹시 악세사리 있어요?,请问有配件吗？,基础|对话
어떤,什么；怎样的,冠词,어떤 노래 좋아해요?,喜欢哪首歌？,基础|对话
다른,别的；其他的,冠词,다른 색 없어요?,没有别的颜色吗？,基础|对话
전화번호,电话号码,名词,전화번호 바꿨어요.,换手机号了。,基础|数字生活
손목,手腕,名词,손목이 차가워요.,手腕好凉。,日常|身体
가방,包,名词,가방 무거워요.,包好重。,日常
마스크,口罩,名词,마스크 잊고 왔어요.,忘带口罩了。,日常
건물,建筑；楼,名词,저 건물이 우리 회사예요.,那栋楼是我们公司。,日常|地点
색,颜色,名词,색 마음에 들어요.,颜色很合心意。,日常|描述
앞뒤,前后,名词,앞뒤 번호 확인해요.,确认一下前后的号码。,日常|描述
옆,旁边,名词,옆 자리 비어 있어요.,旁边的座位空着。,日常|地点
부터,从,助词,아침부터 공부해요.,从早上就开始学习。,基础|对话
수,数；可以（~할 수 있다）,名词,할 수 있어요.,我能做到。,基础|对话
경우,情况,名词,그런 경우는 드물어요.,那种情况很少见。,基础|对话
예정,计划；预定,名词,내일 만날 예정이에요.,明天约好要见面。,基础|时间
간단하다,简单的,形容词,설명이 간단해요.,说明很简单。,基础|描述
어렵다,困难的；不容易的,形容词,한국어가 어려워요.,韩语好难。,基础|感受
전자기기,电子设备,名词,공연장에 전자기기 못 가져가요.,演出现场不能带电子设备。,追星|线下活动
도장,印章,名词,입장할 때 도장 받아요.,入场时会盖印章。,追星|线下活动
역조공,逆应援（粉丝回馈礼物）,名词,오늘 역조공 받았어요!,今天收到了逆应援！,应援
재모임,再集合；重新集合,名词,공연 끝나고 재모임 해요.,演出结束后再集合。,追星|线下活动
지각,迟到,名词,지각해서 혼났어요.,迟到了被训了一顿。,追星|线下活动
인원,人员,名词,인원 다 모였어요?,人都到齐了吗？,追星|线下活动
체크,检查（check）,名词,입장 전에 체크해요.,入场前会检查。,追星|线下活动
훼손,损坏,名词,상품 훼손되면 안 돼요.,商品不能弄坏。,追星|线下活动
은행카드,银行卡,名词,은행카드 분실했어요.,银行卡丢了。,日常|数字生活
공방판,打歌板,名词,공방판 직접 만들었어요.,打歌板是自己做的。,打歌
미팬,MINI FAN（突袭小粉丝见面）,名词,오늘 미팬 당첨됐어요!,今天抽中 mini fan 了！,追星|线下活动
하이코리아,HiKorea（韩国政府外国人综合网）,专有,하이코리아에서 신고했어요.,在 HiKorea 上申报了。,追星|数字生活
네이버,Naver（韩国搜索/账号）,专有,네이버로 검색했어요.,用 Naver 搜的。,追星|数字生活
카카오,Kakao（韩国社交/账号）,专有,카카오톡 확인해 봐요.,看看 KakaoTalk。,追星|数字生活
기프트,礼物（gift）,名词,이벤트 기프트 받았어요.,领到了活动礼物。,应援
큰화면,大屏幕,名词,큰화면으로 잘 보여요.,大屏幕看得清楚。,追星|线下活动
터치,触碰（touch）,动词,화면 한 번 터치하면 돼요.,点一下屏幕就行。,追星|数字生活
교환하다,交换,动词,포토카드 교환했어요.,交换了 photo card。,饭圈用语
스밍횟수,听歌次数（刷榜 streaming 次数）,名词,오늘 스밍횟수 채웠어요.,今天听歌次数刷够了。,饭圈用语|音乐
팬카드,打歌板（应援板）,名词,팬카드 직접 만들었어요.,打歌板是自己做的。,打歌
라벨지,贴纸、标签纸,名词,라벨지에 이름 적었어요.,在标签纸上写了名字。,周边
